Ski Area,State,Website,Year Opened
Ski Snowstar Winter Sports Park,IL,www.skisnowstar.com,1981
The Villas at Tree Tops and Fairway White Lightning Snow Tubing,PA,www.fernwoodresortpoconos.com,1981
Tussey Mountain Ski Area,PA,www.tusseymountain.com,1981
Granby Ranch,CO,https://granbyranch.com/,1982
Hidden Valley Ski Area,MO,www.hiddenvalleyski.com,1982
Triple M-Mystical Mountain,NM,www.triplemsnowplay.com,1982
Hilltop Ski Area,AK,www.hilltopskiarea.org,1983
The Homestead,MI,www.thehomesteadresort.com,1983
Timberline Mountain,WV,www.timberlinemountain.com,1983
Winterplace Ski Resort,WV,www.winterplace.com,1983
Giants Ridge,MN,www.giantsridge.com,1984
Montage Mountain,PA,www.montagemountainresorts.com,1984
Mt. Shasta Ski Park,CA,www.skipark.com,1985
Nordic Mountain,WI,https://www.nordicmountain.com/,1987
Snow Creek Ski Area,MO,www.skisnowcreek.com,1987
The Rock Snowpark,WI,https://www.rocksnowpark.com/,1987
Huff Hills Ski Area,ND,www.huffhills.com,1991
Polar Peak Ski Bowl,NY,www.polarpeak.com,1991
Whitetail Resort,PA,www.skiwhitetail.com,1991
Utah Olympic Park,UT,www.utaholympiclegacy.org,1993
Eagle Rock Ski Area,PA,www.eaglerockresort.com,1997
Seven Oaks Recreation,IA,www.sevenoaksrec.com,1997
"Sleepy Hollow Sports Park, Inc.",IA,www.shspdm.com,1997
Yellowstone Mountain Club,MT,www.yellowstoneclub.com,1997
Blacktail Mountain Ski Area,MT,www.blacktailmountain.com,1998
Double H Ranch,NY,www.doublehranch.org,1998
Mount Bohemia,MI,www.mtbohemia.com,2000
Plymouth Notch,VT,www.skithenotch.com,2001
Silverton Mountain,CO,www.silvertonmountain.com,2001
Crotched Mountain Ski & Ride,NH,www.crotchedmtn.com,2003
Granite Gorge Ski Area,NH,www.granitegorge.com,2003
Tamarack Resort,ID,www.tamarackidaho.com,2004
Echo Mountain,CO,www.echomntn.com,2005
Liberty Mountain Snowflex Centre,VA,www.liberty.edu/snowflex,2009
Eagle Point Resort,UT,www.eaglepointresort.com,2010
Xanadu SnowParkc/o Select Contracts,NJ,,2010
Frisco Adventure Park,CO,www.townoffrisco.com,2011
Cherry Peak Resort,UT,www.skicpr.com,2015
Gateway Hills Snow Park,NH,www.gatewayhillssnowpark.com,2016
Bluebird Backcountry,CO,www.bluebirdbackcountry.com,2018
Big SNOW American Dream,NJ,https://www.bigsnowamericandream.com/,2019
Woodward Park City,UT,woodwardparkcity.com,2019
Hatcher Alpine Xperience dba Skeetawk Ski Area,AK,www.skeetawk.com,2020
The Balsams Resort,NH,www.thebalsamsresort.com,2020
Kingvale Snow Schoolers,CA,http://www.snowschoolers.com/kingvale,2021
Hoedown Hill,CO,https://raindanceresort.com/hoedown-hill/,2023
Thrill Hills,ND,www.skithrillhills.com,2023
